question,database,output,type,cypher,explanation
List the roles of actors in movies directed by someone born before 1960.,movies,"<explanation>
1. **MATCH** the pattern of a person directing a movie with `(p:Person)-[:DIRECTED]->(m:Movie)`
2. **WHERE** the director's birth year (`p.born`) is before 1960
3. **MATCH** the pattern of an actor acting in the same movie with `(a:Person)-[:ACTED_IN]->(m)`
4. **RETURN** the actor's name (`a.name`) and their roles (`r.roles`)
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1960
MATCH (a:Person)-[:ACTED_IN]->(m)
RETURN a.name, a.roles
```",Complex Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)
WHERE p.born < 1960
MATCH (a:Person)-[:ACTED_IN]->(m)
RETURN a.name, a.roles","1. **MATCH** the pattern of a person directing a movie with `(p:Person)-[:DIRECTED]->(m:Movie)`
2. **WHERE** the director's birth year (`p.born`) is before 1960
3. **MATCH** the pattern of an actor acting in the same movie with `(a:Person)-[:ACTED_IN]->(m)`
4. **RETURN** the actor's name (`a.name`) and their roles (`r.roles`)"
Which person wrote a movie released before 1990 and with more than 500 votes?,movies,"<explanation>
1. **MATCH** the relevant nodes and relationships: We need to find a `Person` who `WROTE` a `Movie`.
2. **WHERE** clause to filter the movies: The movie should have `released` property less than 1990 and `votes` property greater than 500.
3. **RETURN** the `name` of the `Person`. 

```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE m.released < 1990 AND m.votes > 500
RETURN p.name
```
</explanation>",Complex Aggregation Queries,"MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE m.released < 1990 AND m.votes > 500
RETURN p.name","1. **MATCH** the relevant nodes and relationships: We need to find a `Person` who `WROTE` a `Movie`.
2. **WHERE** clause to filter the movies: The movie should have `released` property less than 1990 and `votes` property greater than 500.
3. **RETURN** the `name` of the `Person`. 

```cypher
MATCH (p:Person)-[:WROTE]->(m:Movie)
WHERE m.released < 1990 AND m.votes > 500
RETURN p.name
```"
"What is the average rating of movies with a tagline containing ""limits""?",movies,"<explanation>
1. We need to find movies that contain ""limits"" in their tagline.
2. We will then calculate the average rating of those movies using the `avg` function.

```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'limits'
WITH avg(m.rating) AS average_rating
RETURN average_rating
```
</explanation>
```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'limits'
WITH avg(m.rating) AS average_rating
RETURN average_rating
```",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.tagline CONTAINS 'limits'
WITH avg(m.rating) AS average_rating
RETURN average_rating","1. We need to find movies that contain ""limits"" in their tagline.
2. We will then calculate the average rating of those movies using the `avg` function.

```cypher
MATCH (m:Movie)
WHERE m.tagline CONTAINS 'limits'
WITH avg(m.rating) AS average_rating
RETURN average_rating
```"
"Find the names of people who follow someone who produced a movie with ""Speed"" in the title.",movies,"<explanation>
1. **MATCH (person1)-[:FOLLOWS]->(person2)-[:PRODUCED]->(movie)**: This matches all paths where `person1` follows `person2` who produced a `movie`.
2. **WHERE movie.title CONTAINS 'Speed'**: This filters the results to only include movies with ""Speed"" in the title.
3. **RETURN DISTINCT person1.name**: This returns the names of the `person1` nodes, which are the people who follow someone who produced a movie with ""Speed"" in the title. The `DISTINCT` keyword ensures that each name is only returned once. 

</explanation>
```cypher
MATCH (person1)-[:FOLLOWS]->(person2)-[:PRODUCED]->(movie)
WHERE movie.title CONTAINS 'Speed'
RETURN DISTINCT person1.name
```",Complex Aggregation Queries,"MATCH (person1)-[:FOLLOWS]->(person2)-[:PRODUCED]->(movie)
WHERE movie.title CONTAINS 'Speed'
RETURN DISTINCT person1.name","1. **MATCH (person1)-[:FOLLOWS]->(person2)-[:PRODUCED]->(movie)**: This matches all paths where `person1` follows `person2` who produced a `movie`.
2. **WHERE movie.title CONTAINS 'Speed'**: This filters the results to only include movies with ""Speed"" in the title.
3. **RETURN DISTINCT person1.name**: This returns the names of the `person1` nodes, which are the people who follow someone who produced a movie with ""Speed"" in the title. The `DISTINCT` keyword ensures that each name is only returned once."
List the taglines of movies acted in by someone born after 1965.,movies,"<explanation>
This query first finds all people born after 1965. Then, it matches those people to movies they have ACTED_IN. Finally, it returns the distinct taglines of those movies. 
</explanation>
```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.born > 1965
RETURN DISTINCT m.tagline
```",Complex Aggregation Queries,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)
WHERE p.born > 1965
RETURN DISTINCT m.tagline","This query first finds all people born after 1965. Then, it matches those people to movies they have ACTED_IN. Finally, it returns the distinct taglines of those movies."
What are the roles of actors in movies with less than 500 votes?,movies,"<explanation>
This Cypher query identifies movies with less than 500 votes and returns the titles of those movies along with the actors and their respective roles.

1. **MATCH Clause**: We start by matching two nodes: `(m:Movie)` and `(p:Person)`. These nodes are connected by the relationship `ACTED_IN`.
2. **WHERE Clause**: We filter the movies based on the number of votes using `m.votes < 500`.
3. **RETURN Clause**: We return the following:
   - `m.title` as `movieTitle`: The title of the movie.
   - `p.name` as `actorName`: The name of the actor.
   - `r.roles` as `roles`: The roles played by the actor in the movie.

This query effectively retrieves the desired information by first finding all movies with less than 500 votes and then traversing the `ACTED_IN` relationship to get the actors and their roles in those movies.
</explanation>
```cypher
MATCH (m:Movie)<-[r:ACTED_IN]-(p:Person)
WHERE m.votes < 500
RETURN m.title AS movieTitle, p.name AS actorName, r.roles AS roles
```",Complex Aggregation Queries,"MATCH (m:Movie)<-[r:ACTED_IN]-(p:Person)
WHERE m.votes < 500
RETURN m.title AS movieTitle, p.name AS actorName, r.roles AS roles","This Cypher query identifies movies with less than 500 votes and returns the titles of those movies along with the actors and their respective roles.

1. **MATCH Clause**: We start by matching two nodes: `(m:Movie)` and `(p:Person)`. These nodes are connected by the relationship `ACTED_IN`.
2. **WHERE Clause**: We filter the movies based on the number of votes using `m.votes < 500`.
3. **RETURN Clause**: We return the following:
   - `m.title` as `movieTitle`: The title of the movie.
   - `p.name` as `actorName`: The name of the actor.
   - `r.roles` as `roles`: The roles played by the actor in the movie.

This query effectively retrieves the desired information by first finding all movies with less than 500 votes and then traversing the `ACTED_IN` relationship to get the actors and their roles in those movies."
Which person directed a movie with a rating less than 60?,movies,"<explanation>
This query starts by matching all `Person` nodes that have a `DIRECTED` relationship with a `Movie` node. The `WHERE` clause then filters for `Movie` nodes that have a `rating` property less than 60 on the `REVIEWED` relationship. Finally, the query returns the `name` of the `Person` nodes who directed those movies.
</explanation>
```cypher
MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[r:REVIEWED]-()
WHERE r.rating < 60
RETURN p.name
```",Complex Aggregation Queries,"MATCH (p:Person)-[:DIRECTED]->(m:Movie)<-[r:REVIEWED]-()
WHERE r.rating < 60
RETURN p.name","This query starts by matching all `Person` nodes that have a `DIRECTED` relationship with a `Movie` node. The `WHERE` clause then filters for `Movie` nodes that have a `rating` property less than 60 on the `REVIEWED` relationship. Finally, the query returns the `name` of the `Person` nodes who directed those movies."
Find the titles of movies with a released year before 1990.,movies,"<explanation>
This query looks for all movies with a `released` property less than 1990 and returns their titles.

1. **MATCH Clause:** We start by matching all `Movie` nodes.
2. **WHERE Clause:** We filter these movies to only include those released before 1990. 
3. **RETURN Clause:** We return the `title` property of the movies that meet our criteria. 

</explanation>
```cypher
MATCH (m:Movie)
WHERE m.released < 1990
RETURN m.title
```",Complex Aggregation Queries,"MATCH (m:Movie)
WHERE m.released < 1990
RETURN m.title","This query looks for all movies with a `released` property less than 1990 and returns their titles.

1. **MATCH Clause:** We start by matching all `Movie` nodes.
2. **WHERE Clause:** We filter these movies to only include those released before 1990. 
3. **RETURN Clause:** We return the `title` property of the movies that meet our criteria."
"What are the summaries of reviews for ""The Matrix Revolutions""?",movies,"<explanation>
1. **Match the movie node:** Start by finding the ""The Matrix Revolutions"" movie node using the `MATCH` clause and filtering by its title.
2. **Match the reviewed relationship:** Traverse the `REVIEWED` relationship outgoing from the movie node to the person nodes who reviewed it.
3. **Return the summaries:** Return the `summary` property of the `REVIEWED` relationship for each review.

This query leverages the relationships in the graph to efficiently retrieve the requested information.
</explanation>
```cypher
MATCH (m:Movie {title: ""The Matrix Revolutions""})
MATCH (p:Person)-[r:REVIEWED]->(m)
RETURN r.summary
```",Complex Aggregation Queries,"MATCH (m:Movie {title: ""The Matrix Revolutions""})
MATCH (p:Person)-[r:REVIEWED]->(m)
RETURN r.summary","1. **Match the movie node:** Start by finding the ""The Matrix Revolutions"" movie node using the `MATCH` clause and filtering by its title.
2. **Match the reviewed relationship:** Traverse the `REVIEWED` relationship outgoing from the movie node to the person nodes who reviewed it.
3. **Return the summaries:** Return the `summary` property of the `REVIEWED` relationship for each review.

This query leverages the relationships in the graph to efficiently retrieve the requested information."
List the names of people born before 1960 who acted in a movie with a rating greater than 90.,movies,"<explanation>
This query starts by finding all people born before 1960. Then it traverses the ACTED_IN relationships to movies. For each of these movies, it checks if there's a REVIEWED relationship with a rating property greater than 90. Finally, it returns the distinct names of the people who meet these criteria. 

Here's a breakdown of the query:

1. **MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[r:REVIEWED]-()**: This matches people who acted in movies that have been reviewed.
2. **WHERE p.born < 1960 AND r.rating > 90**: This filters for people born before 1960 and movies with a rating greater than 90.
3. **RETURN DISTINCT p.name**: This returns the unique names of the people who meet the criteria.
</explanation>
```cypher
MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[r:REVIEWED]-()
WHERE p.born < 1960 AND r.rating > 90
RETURN DISTINCT p.name
```",Complex Aggregation Queries,"MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[r:REVIEWED]-()
WHERE p.born < 1960 AND r.rating > 90
RETURN DISTINCT p.name","This query starts by finding all people born before 1960. Then it traverses the ACTED_IN relationships to movies. For each of these movies, it checks if there's a REVIEWED relationship with a rating property greater than 90. Finally, it returns the distinct names of the people who meet these criteria. 

Here's a breakdown of the query:

1. **MATCH (p:Person)-[:ACTED_IN]->(m:Movie)<-[r:REVIEWED]-()**: This matches people who acted in movies that have been reviewed.
2. **WHERE p.born < 1960 AND r.rating > 90**: This filters for people born before 1960 and movies with a rating greater than 90.
3. **RETURN DISTINCT p.name**: This returns the unique names of the people who meet the criteria."
